bar,open,close,low,high,volume,length,timestamp
364,94734.4,94718.5,94718.5,94734.4,10.630936,262,2025-04-28
365,94718.5,94690.8,94690.8,94718.5,10.505031,150,2025-04-28
366,94690.8,94673.6,94673.6,94723.6,9.915406,316,2025-04-28
367,94673.6,94668.0,94661.0,94677.8,11.265102,739,2025-04-28
368,94668.0,94621.2,94617.0,94675.6,10.478051,1225,2025-04-28
369,94621.1,94626.6,94611.4,94651.4,10.702665,1062,2025-04-28
370,94626.6,94632.9,94592.7,94633.2,10.570685,1101,2025-04-28
371,94632.2,94681.5,94628.4,94681.5,9.664546,522,2025-04-28
372,94681.5,94713.0,94670.1,94713.0,11.292999,607,2025-04-28
373,94713.4,94794.0,94703.9,94796.5,10.510643,1058,2025-04-28
374,94793.9,94807.8,94777.0,94807.8,10.759724,989,2025-04-28
375,94808.0,94838.7,94794.2,94838.7,10.259848,727,2025-04-28
376,94838.7,94858.7,94838.7,94873.5,10.491759,1166,2025-04-28
